# EPA eGRID2023 data file, PLNT23 extract. 17 USC 105.
# Plants in AZNM, CAMX, ERCT, RFCE, RFCW, SRVC. Columns: orispl, subregion, net_gen_mwh, co2_tons.
orispl,subregion,net_gen_mwh,co2_tons
118,AZNM,175612,95661.122000000003
117,AZNM,3053387,969426.80200000003
62643,AZNM,2632.998,0
58632,AZNM,3029,0
57373,CAMX,691333.99899999995,0
141,AZNM,158532,102744.69
64384,AZNM,5282,0
60684,AZNM,2030,0
60964,AZNM,55339,0
160,AZNM,1982376.9990000001,1483122.023
58199,AZNM,41294,12836.386
57765,AZNM,5558.9989999999998,0
55282,AZNM,3496839,1526403.4269999999
57680,AZNM,348545.99900000001,0
59168,AZNM,70859,0
60062,AZNM,43863,0
57657,AZNM,64758,0
58262,AZNM,33216,0
56482,AZNM,94899,60117.951999999997
58042,AZNM,20270,0
60413,AZNM,118710,0
64580,AZNM,6265,0
65185,AZNM,1702,0
58037,AZNM,6322,0
60685,AZNM,2717.9989999999998,0
64566,AZNM,263726,0
66001,AZNM,235585,0
57560,AZNM,26269,0
113,AZNM,1787705,2272264.5750000002
56229,AZNM,54148.31,16415.012999999999
59233,AZNM,35719.279999999999,10733.326999999999
58832,AZNM,2090,0
56948,AZNM,422112.99599999998,265827.62199999997
6177,AZNM,3082129,4005256.6290000002
57561,AZNM,41151,0
152,AZNM,908941.99800000002,0
59779,AZNM,31454,0
124,AZNM,1310,1099.4760000000001
55129,AZNM,2994698,1366098.493
59444,AZNM,29978,0
114,AZNM,90,131.232
57098,AZNM,111556,0
62899,AZNM,253726,0
60230,AZNM,4162,0
57930,AZNM,4103,0
57997,AZNM,101512,0
58972,AZNM,37208,0
58842,AZNM,6215,0
59020,AZNM,80032,0
60768,AZNM,2813817,1204834.183
55306,AZNM,2015688,4459644.5060000001
58543,AZNM,3565,0
61272,AZNM,137974,0
55124,AZNM,3670670,1580277.3629999999
7179,AZNM,32271,0
8902,AZNM,1459562.0020000001,0
145,AZNM,127573.999,0
58383,AZNM,30261,0
57563,AZNM,40223,0
60822,AZNM,10667,0
60996,AZNM,4588,0
126,AZNM,1390938,528231.74899999995
60603,AZNM,8346,0
58292,AZNM,2010,0
57775,AZNM,18074,0
147,AZNM,1258511,530083.42599999998
57556,AZNM,931,0
58539,AZNM,14390,0
57324,AZNM,32767,0
64404,AZNM,8058,0
55481,AZNM,4016736,3313551.8450000002
57707,CAMX,403904.99800000002,0
60307,CAMX,274398,0
60308,CAMX,461621,0
65963,AZNM,58724,0
63114,AZNM,961409,0
63554,AZNM,17110,0
59819,AZNM,8183,0
148,AZNM,67830,0
55372,AZNM,2326465,968559.15700000001
6088,AZNM,3648,4641.2569999999996
57403,AZNM,17570,0
56616,AZNM,175580,228.18
63349,AZNM,81879,0
116,AZNM,640869,337870.98499999999
6008,AZNM,31522590,0
57562,AZNM,38964,0
58293,AZNM,2049,0
58155,AZNM,222297,0
58708,AZNM,848,0
58709,AZNM,2706,0
58486,AZNM,48986,0
62075,AZNM,2404,0
61104,AZNM,1556,0
63531,AZNM,3050,0
61678,AZNM,57517,0
57318,AZNM,51359,0
57379,AZNM,116724,0
58171,AZNM,7535,0
56228,AZNM,2627,0
58147,AZNM,22875,0
57883,AZNM,46444,0
57795,AZNM,9102,0
57790,AZNM,31740,0
58501,AZNM,38509,0
65972,AZNM,33506,0
58833,AZNM,203382,0
60285,AZNM,48058,0
60467,AZNM,25977,0
55455,AZNM,4430509,1839597.8149999999
59044,AZNM,4282,0
57524,AZNM,1132,0
149,AZNM,98825,0
58213,AZNM,30904,0
63476,AZNM,263275,0
59634,AZNM,111105,0
8068,AZNM,5697255,2049144.477
56812,AZNM,774723,0
66627,AZNM,110143,0
55177,AZNM,2671767,1220071.7649999999
8223,AZNM,6733669.9400000004,7679992.4539999999
150,AZNM,34978,0
65956,AZNM,31027,0
60381,AZNM,53285,0
63440,CAMX,366292,0
60827,CAMX,380637,0
55522,AZNM,522679,317086.38199999998
61199,AZNM,618,0
59455,AZNM,13711,0
57392,AZNM,403,0
58516,AZNM,2573,0
54594,AZNM,118,241.71700000000001
6515,AZNM,5650.0010000000002,4834.2969999999996
59454,AZNM,26220,0
58517,AZNM,2742,0
57939,AZNM,1793,0
66125,AZNM,276469,0
64426,AZNM,272043,0
120,AZNM,236544,99532.361999999994
54694,AZNM,149275,66478.047000000006
65331,CAMX,3790,0
65794,CAMX,2381,0
58918,CAMX,2025,0
58920,CAMX,2554,0
58919,CAMX,1512,0
52162,CAMX,62927,0
52163,CAMX,86927,0
65330,CAMX,5415,0
66622,CAMX,2941,0
293,CAMX,16124,0
61501,CAMX,8473,0
61502,CAMX,7848,0
61503,CAMX,8463,0
58699,CAMX,15983,0
315,CAMX,598254,1666706.2790000001
335,CAMX,167370,1398861.101
356,CAMX,256221,296011.8
63699,CAMX,6316,0
59610,CAMX,27622,0
62577,CAMX,27115,0
58889,CAMX,1348,0
65205,CAMX,8700,0
65206,CAMX,5844,0
65208,CAMX,7082,0
65204,CAMX,6962,0
65360,CAMX,6510,0
61154,CAMX,8302,0
61153,CAMX,7181,0
65192,CAMX,3514,0
62573,CAMX,6985,0
63605,CAMX,6608,0
62574,CAMX,7208,0
63606,CAMX,7311,0
57378,CAMX,567726,0
60085,CAMX,8205,0
65517,CAMX,17314,0
59440,CAMX,17018,0
57305,CAMX,3530,0
59441,CAMX,54867,0
60027,CAMX,27369,0
57651,CAMX,39000,0
55184,CAMX,23649,7771.6289999999999
57697,CAMX,5891,0
57698,CAMX,3739,0
50748,CAMX,35748,21509.223000000002
66797,CAMX,1519,0
55951,CAMX,10221,6739.2
52158,CAMX,77312,3432.6460000000002
7450,CAMX,3906,4121.5079999999998
