# EPA eGRID2023 Revision 2 PLNT23 extract. 17 USC 105.
# Official plant population, all 27 eGRID subregions.
# Columns: orispl, subregion, net_gen_mwh (PLNGENAN), co2_tons (PLCO2AN).
# Blank PLCO2AN stored as 0 so zero-carbon plants stay in the denominator.
# Negative PLNGENAN kept (Rev 2 correction). Plants with blank PLNGENAN omitted.
# Source: egrid2023_data_rev2.xlsx PLNT23, released 2025-06-12.
orispl,subregion,net_gen_mwh,co2_tons
70,AKGD,70593,0
75,AKGD,37067,24204.1
77,AKGD,197787,0
79,AKGD,143360,137787.538
92,AKGD,507,661.552
96,AKGD,525.001,6331.47
6283,AKGD,17,12.576
6285,AKGD,444703,323109.949
6286,AKGD,6275,10454.972
6288,AKGD,375778,169547.892
6291,AKGD,46389,0
6292,AKGD,0,0
6293,AKGD,0,0
6559,AKGD,911296,418064.646
7367,AKGD,395080,0
50308,AKGD,64020,41891.315
50392,AKGD,86880,50136.175
50711,AKGD,68556.778,41783.218
52184,AKGD,69211,20190.459
54834,AKGD,98,79.458
55966,AKGD,416835,216771.504
56325,AKGD,103,424.157
57036,AKGD,905296,456583.33
57206,AKGD,21614,12910.513
57583,AKGD,-2443,0
57935,AKGD,31127,0
58380,AKGD,38920,1.143
58425,AKGD,46280,0
58511,AKGD,3983,0
58989,AKGD,716969,361712.49
66887,AKGD,46,0
1,AKMS,3301,2644.244
62,AKMS,8383,0
63,AKMS,9096.999,10.369
64,AKMS,-816.998,387.413
65,AKMS,28811,0
66,AKMS,4023,1746.197
69,AKMS,241.999,423.749
71,AKMS,137666.001,0
78,AKMS,302088.001,0
84,AKMS,22422.999,0
85,AKMS,-140,24928.818
91,AKMS,779.999,621.454
93,AKMS,80294.001,0
95,AKMS,889.999,537.833
109,AKMS,18685.999,14637.252
313,AKMS,41779,0
390,AKMS,33930,0
406,AKMS,11287,8829.714
421,AKMS,1824.999,1529.709
423,AKMS,0,0
789,AKMS,6290,7886.183
6281,AKMS,0,0
6299,AKMS,3037,2552.864
6301,AKMS,23477.861,10150.897
6302,AKMS,12485.001,0
6304,AKMS,24226.999,14034.499
6305,AKMS,5684.999,5177.508
6306,AKMS,8704.001,7475.012
6311,AKMS,3095,1834.394
6314,AKMS,5820,4377.376
6319,AKMS,3568.999,2478.468
6323,AKMS,1790,1460.541
6329,AKMS,0,0
6330,AKMS,2181,1751.505
6338,AKMS,5860,3380.598
6341,AKMS,2790,2210.124
6345,AKMS,1766,1492.144
6348,AKMS,3159.001,2423.508
6555,AKMS,2022,1730.436
6566,AKMS,43935,33323.76
6580,AKMS,42498.999,0
6581,AKMS,11460,0
6637,AKMS,6238,4800.715
6702,AKMS,1581,254.217
6801,AKMS,-834.999,112.122
7042,AKMS,2950.001,0
7112,AKMS,283,469.398
7168,AKMS,4521,0
7169,AKMS,1131,1010.415
7173,AKMS,46662.001,45199.655
7174,AKMS,2463,2376.697
7182,AKMS,2016.999,2139.649
7183,AKMS,3174,44.181
7250,AKMS,-236,386.918
7414,AKMS,0,0
7462,AKMS,1815.999,1911.729
7463,AKMS,4240,3477.041
7464,AKMS,1509.998,1484.795
7482,AKMS,2032.999,3153.329
7483,AKMS,4889,4233.566
7484,AKMS,7410.001,6650.899
7485,AKMS,6725,6022.882
7486,AKMS,3572,3207.148
7487,AKMS,3744,3326.047
7488,AKMS,6839.001,6266.075
7493,AKMS,4479.001,646.932
7502,AKMS,43380.998,31858.646
7503,AKMS,33,34.543
7723,AKMS,0,0
7751,AKMS,15751,0
7752,AKMS,20403,0
7841,AKMS,24008,16129.379
7862,AKMS,19154,0
54305,AKMS,18573.519,7594.591
54422,AKMS,29613.001,26089.246
56146,AKMS,513,461.395
56265,AKMS,5437,0
56542,AKMS,8774,0
57051,AKMS,1912.001,1478.354
57052,AKMS,2410.001,1868.135
57053,AKMS,0,0
57054,AKMS,1515,1183.756
57055,AKMS,3531,2673.152
57056,AKMS,1844.001,1493.258
57057,AKMS,2409,1482.916
57058,AKMS,1898,1532.231
57059,AKMS,1321.001,922.547
57060,AKMS,1294,930.169
57062,AKMS,2463.001,1976.731
57063,AKMS,1746,1257.936
57064,AKMS,2048,1444.485
57065,AKMS,1682,1216.373
57066,AKMS,2949,2209.635
57067,AKMS,3854.999,2859.263
57085,AKMS,88602,0
57187,AKMS,24073,0
58117,AKMS,-324.999,6.896
58278,AKMS,50476,39997.272
58405,AKMS,-217,0
58977,AKMS,10557,0
