# USGS ASCE 7-16 design values, Site Class C, Risk Category II.
# 17 USC 105. Retrieved 2026-08-15 from earthquake.usgs.gov/ws/designmaps/asce7-16
location_id,lat,lon,ss,s1,pga
ashburn,39.0000,-77.5000,0.136,0.044,0.071
ashburn,39.0000,-77.4500,0.136,0.044,0.071
ashburn,39.0500,-77.5000,0.136,0.044,0.07
ashburn,39.0500,-77.4500,0.136,0.044,0.07
dallas,32.7500,-96.8000,0.095,0.053,0.046
dallas,32.7500,-96.7500,0.096,0.054,0.046
dallas,32.8000,-96.8000,0.098,0.054,0.047
dallas,32.8000,-96.7500,0.098,0.054,0.047
phoenix,33.4000,-112.1000,0.173,0.065,0.076
phoenix,33.4000,-112.0500,0.175,0.064,0.077
phoenix,33.4500,-112.1000,0.178,0.064,0.078
phoenix,33.4500,-112.0500,0.18,0.065,0.079
chicago,41.8500,-87.6500,0.117,0.063,0.059
chicago,41.8500,-87.6000,0.116,0.063,0.058
chicago,41.9000,-87.6500,0.116,0.063,0.058
chicago,41.9000,-87.6000,0.114,0.062,0.057
sanjose,37.3500,-122.0000,1.5,0.6,0.598
sanjose,37.3500,-121.9500,1.5,0.6,0.5
sanjose,37.4000,-122.0000,1.5,0.6,0.513
sanjose,37.4000,-121.9500,1.5,0.6,0.607
